AccountNumber,TotalActivityCount_SUM,
ACCT0005176,53,
ACCT0005178,223,
ACCT0005190,2,
ACCT0005194,57,
ACCT0005200,349,
ACCT0005209,90,
ACCT0005221,6,
ACCT0005231,25,
ACCT0005241,156,
ACCT0005246,195,
ACCT0005260,98,
ACCT0005271,17,
ACCT0005275,274,
ACCT0005276,40,
ACCT0005277,48,
ACCT0005278,46,
ACCT0005286,54,
ACCT0005287,16,
ACCT0005311,231,
ACCT0005326,3,
ACCT0005330,1,
ACCT0005345,485,
ACCT0005347,71,
ACCT0005350,191,
ACCT0005352,272,
ACCT0005373,29,
ACCT0005378,23,
ACCT0005381,40,
ACCT0005388,307,
ACCT0005396,78,
ACCT0005415,10,
ACCT0005420,42,
ACCT0005425,246,
ACCT0005428,528,
ACCT0005429,19,
ACCT0005436,292,
ACCT0005438,3,
ACCT0005440,73,
ACCT0005443,100,
ACCT0005456,130,
ACCT0005469,1,
ACCT0005472,127,
ACCT0005478,37,
ACCT0005491,27,
ACCT0005506,9,
ACCT0005507,71,
ACCT0005525,7,
ACCT0005531,25,
ACCT0005535,73,
ACCT0005545,76,
ACCT0005550,40,
ACCT0005556,52,
ACCT0005560,493,
ACCT0005561,115,
ACCT0005566,7,
ACCT0005571,70,
ACCT0005585,1,
ACCT0005594,4,
ACCT0005595,3,
ACCT0005600,46,
ACCT0005602,30,
ACCT0005603,3,
ACCT0005604,86,
ACCT0005606,89,
ACCT0005607,28,
ACCT0005624,30,
ACCT0005630,48,
ACCT0005645,57,
ACCT0005646,618,
ACCT0005650,197,
ACCT0005661,173,
ACCT0005663,65,
ACCT0005668,290,
ACCT0005673,86,
ACCT0005684,279,
ACCT0005693,1,
ACCT0005695,47,
ACCT0005707,3,
ACCT0005712,1,
ACCT0005722,32,
ACCT0005725,192,
ACCT0005726,249,
ACCT0005737,28,
ACCT0005739,63,
ACCT0005742,2,
ACCT0005752,6,
ACCT0005759,20,
ACCT0005760,43,
ACCT0005767,116,
ACCT0005769,588,
ACCT0005773,514,
ACCT0005775,266,
ACCT0005778,34,
ACCT0005785,115,
ACCT0005788,49,
ACCT0005795,40,
ACCT0005796,334,
ACCT0005806,165,
ACCT0005819,83,
ACCT0005824,300,
ACCT0005825,166,
ACCT0005830,126,
ACCT0005831,33,
ACCT0005837,40,
ACCT0005838,1,
ACCT0005848,236,
ACCT0005869,81,
ACCT0005872,108,
ACCT0005885,62,
ACCT0005896,15,
ACCT0005899,1,
ACCT0005906,196,
ACCT0005919,140,
ACCT0005931,55,
ACCT0005937,10,
ACCT0005940,12,
ACCT0005951,11,
ACCT0005961,487,
ACCT0005970,46,
ACCT0005976,356,
ACCT0005978,287,
ACCT0006001,501,
ACCT0006016,138,
ACCT0006020,286,
ACCT0006021,751,
ACCT0006022,85,
ACCT0006024,875,
ACCT0006029,50,
ACCT0006035,110,
ACCT0006037,137,
ACCT0006041,170,
ACCT0006050,5,
ACCT0006052,3,
ACCT0006128,6,
ACCT0006129,104,
ACCT0006131,114,
ACCT0006132,168,
ACCT0006135,114,
ACCT0006138,235,
ACCT0006140,52,
ACCT0006141,35,
ACCT0006149,481,
ACCT0006151,1,
ACCT0006169,159,
ACCT0006177,364,
ACCT0006180,2,
ACCT0006194,84,
ACCT0006199,133,
ACCT0006200,126,
ACCT0006202,612,
ACCT0006205,10,
ACCT0006206,85,
ACCT0006209,11,
ACCT0006211,173,
ACCT0006219,272,
ACCT0006225,3,
ACCT0006257,7,
ACCT0006261,89,
ACCT0006264,188,
ACCT0006275,224,
ACCT0006278,139,
ACCT0006316,1,
ACCT0006326,7,
ACCT0006351,1,
ACCT0006353,57,
ACCT0006355,171,
ACCT0006358,17,
ACCT0006367,638,
ACCT0006371,446,
ACCT0006393,14,
ACCT0006397,153,
ACCT0006399,3,
ACCT0006400,348,
ACCT0006404,"1,775",
ACCT0006405,19,
ACCT0006412,92,
ACCT0006417,1,
ACCT0006419,190,
ACCT0006427,39,
ACCT0006430,200,
ACCT0006441,41,
ACCT0006442,1,
ACCT0006457,171,
ACCT0006479,111,
ACCT0006489,845,
ACCT0006516,337,
ACCT0006540,2,
ACCT0006542,"1,024",
ACCT0006544,15,
ACCT0006555,31,
ACCT0006558,1,
ACCT0006562,6,
ACCT0006565,247,
ACCT0006569,105,
ACCT0006577,30,
ACCT0006580,52,
ACCT0006591,76,
ACCT0006615,361,
ACCT0006630,131,
ACCT0006635,78,
ACCT0006636,859,
ACCT0006657,384,
ACCT0006667,144,
ACCT0006691,6,
ACCT0006695,177,
ACCT0006701,28,
ACCT0006702,62,
ACCT0006709,164,
ACCT0006710,188,
ACCT0006716,83,
ACCT0006719,51,
ACCT0006721,86,
ACCT0006723,13,
ACCT0006727,40,
ACCT0006751,73,
ACCT0006757,36,
ACCT0006760,940,
ACCT0006763,478,
ACCT0006769,152,
ACCT0006774,635,
ACCT0006779,28,
ACCT0006780,46,
ACCT0006781,70,
ACCT0006785,408,
ACCT0006796,76,
ACCT0006802,56,
ACCT0006809,21,
ACCT0006810,159,
ACCT0006831,399,
ACCT0006833,167,
ACCT0006834,262,
ACCT0006842,14,
ACCT0006851,673,
ACCT0006854,221,
ACCT0006856,1,
ACCT0006858,37,
ACCT0006863,21,
ACCT0006867,1,
ACCT0006869,32,
ACCT0006887,7,
ACCT0006892,28,
ACCT0006897,183,
ACCT0006903,78,
ACCT0006906,16,
ACCT0006910,16,
ACCT0006929,3,
ACCT0006937,114,
ACCT0006939,88,
ACCT0006940,226,
ACCT0006942,1,
ACCT0006943,49,
ACCT0006946,47,
ACCT0006947,71,
ACCT0006966,3,
ACCT0006970,20,
ACCT0006980,775,
ACCT0006991,12,
ACCT0007002,7,
ACCT0007003,7,
ACCT0007006,371,
ACCT0007013,49,
ACCT0007014,16,
ACCT0007017,80,
ACCT0007041,166,
ACCT0007046,5,
ACCT0007048,11,
ACCT0007051,20,
ACCT0007071,93,
ACCT0007074,45,
ACCT0007078,76,
ACCT0007085,107,
ACCT0007100,108,
ACCT0007101,126,
ACCT0007102,201,
ACCT0007118,23,
ACCT0007140,5,
ACCT0007151,66,
ACCT0007160,169,
ACCT0007163,38,
ACCT0007180,74,
ACCT0007188,111,
ACCT0007202,477,
ACCT0007205,129,
ACCT0007222,7,
ACCT0007236,15,
ACCT0007243,164,
ACCT0007251,225,
ACCT0007254,5,
ACCT0007255,4,
ACCT0007293,21,
ACCT0007296,114,
ACCT0007305,16,
ACCT0007313,9,
ACCT0007315,1,
ACCT0007321,33,
ACCT0007323,8,
ACCT0007329,19,
ACCT0007331,12,
ACCT0007336,46,
ACCT0007340,67,
ACCT0007341,14,
ACCT0007346,4,
ACCT0007351,182,
ACCT0007361,19,
ACCT0007369,47,
ACCT0007380,778,
ACCT0007386,3,
ACCT0007394,4,
ACCT0007424,"1,546",
ACCT0007430,35,
ACCT0007431,1,
ACCT0007451,239,
ACCT0007452,100,
ACCT0007454,26,
ACCT0007462,823,
ACCT0007464,50,
ACCT0007491,"1,139",
ACCT0007496,120,
ACCT0007515,22,
ACCT0007516,8,
ACCT0007517,53,
ACCT0007524,4,
ACCT0007526,260,
ACCT0007527,426,
ACCT0007549,185,
ACCT0007551,14,
ACCT0007555,31,
ACCT0007570,192,
ACCT0007574,27,
ACCT0007575,200,
ACCT0007576,2,
ACCT0007577,615,
ACCT0007588,120,
ACCT0007590,23,
ACCT0007593,208,
ACCT0007596,70,
ACCT0007601,169,
ACCT0007628,4,
ACCT0007633,6,
ACCT0007644,220,
ACCT0007651,113,
ACCT0007661,1,
ACCT0007666,39,
ACCT0007673,296,
ACCT0007689,173,
ACCT0007699,7,
ACCT0007706,1,
ACCT0007710,1,
ACCT0007727,2,
ACCT0007734,28,
ACCT0007754,5,
ACCT0007765,158,
ACCT0007767,89,
ACCT0007769,13,
ACCT0007771,25,
ACCT0007772,295,
ACCT0007788,300,
ACCT0007789,46,
ACCT0007885,3,
ACCT0007889,13,
ACCT0007906,21,
ACCT0007907,168,
ACCT0007932,36,
ACCT0007947,39,
ACCT0007953,44,
ACCT0007961,119,
ACCT0007982,284,
ACCT0007985,56,
ACCT0007994,5,
ACCT0008002,64,
ACCT0008006,36,
ACCT0008008,53,
ACCT0008020,19,
ACCT0008027,9,
ACCT0008030,35,
ACCT0008034,496,
ACCT0008045,73,
ACCT0008049,166,
ACCT0008067,136,
ACCT0008072,62,
ACCT0008087,76,
ACCT0008090,24,
ACCT0008096,184,
ACCT0008098,45,
ACCT0008100,7,
ACCT0008111,4,
ACCT0008120,51,
ACCT0008123,31,
ACCT0008126,3,
ACCT0008135,44,
ACCT0008139,122,
ACCT0008154,43,
ACCT0008159,70,
ACCT0008176,132,
ACCT0008185,3,
ACCT0008188,34,
ACCT0008191,436,
ACCT0008192,102,
ACCT0008196,194,
ACCT0008198,639,
ACCT0008200,20,
ACCT0008201,701,
ACCT0008202,2,
ACCT0008205,44,
ACCT0008207,108,
ACCT0008211,104,
ACCT0008222,74,
ACCT0008251,18,
ACCT0008260,8,
ACCT0008296,1,
ACCT0008299,83,
ACCT0008325,10,
ACCT0008371,29,
ACCT0008372,17,
ACCT0008382,256,
ACCT0008393,163,
ACCT0008394,164,
ACCT0008411,39,
ACCT0008424,266,
ACCT0008460,75,
ACCT0008485,13,
ACCT0008502,166,
ACCT0008503,1,
ACCT0008513,1,
ACCT0008531,52,
ACCT0008543,5,
ACCT0008584,41,
ACCT0008591,472,
ACCT0008597,100,
ACCT0008603,61,
ACCT0008609,720,
ACCT0008612,3,
ACCT0008614,156,
ACCT0008616,95,
ACCT0008619,107,
ACCT0008620,115,
ACCT0008622,375,
ACCT0008624,367,
ACCT0008626,4,
ACCT0008668,154,
ACCT0008674,65,
ACCT0008675,5,
ACCT0008678,102,
ACCT0008685,19,
ACCT0008700,41,
ACCT0008702,87,
ACCT0008706,359,
ACCT0008708,"1,220",
ACCT0008715,160,
ACCT0008720,3,
ACCT0008725,314,
ACCT0008763,88,
ACCT0008784,14,
ACCT0008786,533,
ACCT0008788,84,
ACCT0008790,1,
ACCT0008797,99,
ACCT0008798,741,
ACCT0008799,52,
ACCT0008810,12,
ACCT0008813,1,
ACCT0008826,94,
ACCT0008834,81,
ACCT0008837,177,
ACCT0008838,181,
ACCT0008844,96,
ACCT0008853,79,
ACCT0008866,199,
ACCT0008872,29,
ACCT0008877,321,
ACCT0008897,1,
ACCT0008900,133,
ACCT0008901,7,
ACCT0008909,336,
ACCT0008910,4,
ACCT0008917,269,
ACCT0008918,71,
ACCT0008920,45,
ACCT0008934,49,
ACCT0008937,6,
ACCT0008938,11,
ACCT0008945,18,
ACCT0008952,3,
ACCT0008962,24,
ACCT0009003,35,
ACCT0009010,23,
ACCT0009011,201,
ACCT0009012,5,
ACCT0009023,56,
ACCT0009039,348,
ACCT0009048,59,
ACCT0009054,214,
ACCT0009059,50,
ACCT0009060,12,
ACCT0009084,3,
ACCT0009086,13,
ACCT0009095,204,
ACCT0009099,7,
ACCT0009102,82,
ACCT0009109,541,
ACCT0009110,638,
ACCT0009119,456,
ACCT0009121,10,
ACCT0009126,19,
ACCT0009129,154,
ACCT0009136,181,
ACCT0009137,171,
ACCT0009145,58,
ACCT0009147,359,
ACCT0009152,296,
ACCT0009156,5,
ACCT0009158,20,
ACCT0009160,61,
ACCT0009163,18,
ACCT0009168,996,
ACCT0009175,18,
ACCT0009176,1,
ACCT0009178,504,
ACCT0009179,2,
ACCT0009186,275,
ACCT0009189,67,
ACCT0009193,23,
ACCT0009199,318,
ACCT0009219,14,
ACCT0009221,174,
ACCT0009233,115,
ACCT0009239,1,
ACCT0009242,174,
ACCT0009249,30,
ACCT0009250,145,
ACCT0009251,48,
ACCT0009253,21,
ACCT0009254,306,
ACCT0009260,89,
ACCT0009274,108,
ACCT0009278,205,
ACCT0009280,23,
ACCT0009293,47,
ACCT0009300,3,
ACCT0009303,140,
ACCT0009320,18,
ACCT0009333,173,
ACCT0009343,47,
ACCT0009347,45,
ACCT0009356,32,
ACCT0009359,8,
ACCT0009382,17,
ACCT0009389,169,
ACCT0009402,1,
ACCT0009424,165,
ACCT0009437,505,
ACCT0009443,7,
ACCT0009460,141,
ACCT0009466,2,
ACCT0009473,15,
ACCT0009486,1,
ACCT0009503,673,
ACCT0009509,38,
ACCT0009510,26,
ACCT0009512,22,
ACCT0009515,129,
ACCT0009519,233,
ACCT0009520,267,
ACCT0009534,169,
ACCT0009539,20,
ACCT0009546,15,
ACCT0009552,426,
ACCT0009555,37,
ACCT0009556,58,
ACCT0009568,36,
ACCT0009570,112,
ACCT0009574,11,
ACCT0009579,47,
ACCT0009581,45,
ACCT0009582,69,
ACCT0009601,372,
ACCT0009607,62,
ACCT0009608,347,
ACCT0009611,169,
ACCT0009620,19,
ACCT0009624,4,
ACCT0009636,260,
ACCT0009642,3,
ACCT0009647,191,
ACCT0009656,1,
ACCT0009659,3,
ACCT0009661,42,
ACCT0009687,5,
ACCT0009694,50,
ACCT0009721,222,
ACCT0009725,25,
ACCT0009731,335,
ACCT0009737,40,
ACCT0009744,3,
ACCT0009747,14,
ACCT0009752,284,
ACCT0009757,6,
ACCT0009759,6,
ACCT0009768,6,
ACCT0009784,104,
ACCT0009787,1,
ACCT0009789,12,
ACCT0009790,24,
ACCT0009792,33,
ACCT0009795,148,
ACCT0009807,0,
ACCT0009838,119,
ACCT0009839,5,
ACCT0009845,95,
ACCT0009849,11,
ACCT0009853,28,
ACCT0009854,47,
ACCT0009861,88,
ACCT0009865,8,
ACCT0009874,67,
ACCT0009879,76,
ACCT0009880,153,
